Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
0.352,0.236,245.86,1.8,0,0,0,13,1,0
0.876,0.102,239.4,3.6,0,0,1,7,10,1
0.286,0.0,242.84,1.2,0,0,0,20,2,0
0.204,0.1,239.72,1.0,0,0,0,7,8,0
2.286,0.192,239.63,9.6,0,0,18,9,2,18
0.258,0.066,246.91,1.2,0,0,0,7,1,0
1.398,0.056,242.25,5.8,0,0,18,15,10,18
0.332,0.094,241.67,1.4,0,2,1,14,10,3
1.558,0.086,243.83,6.4,0,0,19,12,2,19
2.754,0.162,243.33,11.4,0,23,19,12,5,42
1.83,0.25,243.86,7.6,0,1,19,13,9,20
0.272,0.0,247.82,1.0,0,0,1,24,1,1
0.318,0.094,246.76,1.2,0,2,1,5,4,3
2.478,0.21,234.33,10.6,0,2,17,13,12,19
0.58,0.47,236.24,3.2,0,1,0,19,7,1
1.41,0.0,248.0,5.6,0,0,19,28,12,19
3.008,0.05,238.11,12.6,0,0,17,24,11,17
0.268,0.066,243.21,1.2,0,1,1,10,9,2
0.3,0.116,239.94,1.4,0,0,1,24,6,1
0.312,0.248,242.65,1.6,0,1,0,12,8,1
3.062,0.132,241.54,12.8,0,0,18,5,1,18
0.218,0.046,234.23,1.0,0,0,0,19,5,0
0.326,0.1,245.1,1.4,0,0,0,1,12,0
0.332,0.236,241.38,1.6,0,0,1,19,7,1
0.156,0.0,243.51,0.6,0,0,1,25,8,1
1.34,0.076,236.56,5.6,0,1,17,4,5,18
1.288,0.0,239.0,5.4,0,0,18,23,10,18
0.248,0.0,246.79,1.0,0,0,0,28,12,0
0.222,0.0,244.77,0.8,0,0,0,9,2,0
0.306,0.122,243.88,1.4,0,0,0,18,2,0
0.458,0.312,245.29,2.2,0,1,1,25,9,2
0.258,0.0,242.92,1.0,0,0,0,26,4,0
0.262,0.0,245.87,1.0,0,0,0,31,1,0
0.22,0.0,243.8,0.8,0,0,0,31,3,0
1.404,0.2,238.58,5.8,0,1,18,4,9,19
1.008,0.074,237.12,4.2,0,0,0,22,10,0
0.324,0.106,241.19,1.4,0,1,1,2,3,2
0.24,0.112,240.86,1.0,0,0,0,2,9,0
1.346,0.202,241.36,5.6,1,0,0,1,10,1
0.288,0.238,239.22,1.6,0,1,0,10,6,1
3.69,0.182,240.98,15.6,0,2,19,22,9,21
0.374,0.158,242.4,1.6,0,0,0,2,2,0
0.562,0.236,242.44,2.8,0,1,0,1,6,1
0.24,0.05,234.6,1.0,0,0,0,7,6,0
2.134,0.088,242.98,8.8,0,0,18,2,2,18
0.94,0.152,240.14,4.0,0,1,1,28,6,2
2.772,0.216,238.09,11.6,0,0,18,24,12,18
1.294,0.434,240.32,5.6,1,1,1,23,6,3
2.502,0.0,238.68,10.4,0,0,18,22,11,18
3.19,0.0,241.1,13.2,0,0,18,15,1,18
1.892,0.066,239.37,9.0,0,26,0,17,12,26
1.41,0.12,240.97,5.8,0,0,19,30,9,19
0.378,0.11,242.05,1.6,0,0,1,11,5,1
2.25,0.328,241.58,9.4,0,0,19,31,5,19
0.546,0.256,240.21,2.4,0,2,0,27,9,2
0.356,0.09,238.68,1.6,0,0,1,21,9,1
0.438,0.212,238.07,2.0,0,1,0,14,1,1
3.642,0.05,239.16,15.2,38,0,19,15,5,57
0.302,0.124,237.63,1.4,0,0,0,14,5,0
0.558,0.238,240.02,2.6,0,1,1,25,10,2
2.802,0.272,237.16,12.0,0,1,27,25,6,28
0.346,0.212,243.42,1.6,0,0,0,7,6,0
0.554,0.266,249.22,2.4,0,2,1,12,12,3
0.254,0.0,233.61,1.2,0,0,1,5,6,1
0.312,0.09,241.13,1.2,0,0,0,5,10,0
1.124,0.0,229.9,4.8,1,0,16,18,7,17
2.688,0.07,239.39,11.2,38,0,0,1,1,38
0.228,0.092,242.24,1.0,0,0,0,30,5,0
0.212,0.0,243.37,1.0,0,0,0,2,6,0
0.162,0.146,243.3,0.8,0,1,0,23,8,1
1.702,0.222,243.44,7.0,1,1,19,8,3,21
0.454,0.328,242.45,2.2,0,1,0,3,4,1
0.22,0.0,243.21,0.8,0,0,0,1,3,0
2.342,0.0,242.74,9.6,0,0,19,19,1,19
0.162,0.0,241.02,0.6,0,0,1,13,5,1
3.458,0.294,240.27,14.6,1,33,17,20,1,51
0.64,0.066,239.98,2.6,0,0,0,20,10,0
0.13,0.0,241.28,0.6,0,0,0,13,9,0
0.54,0.216,239.13,2.4,0,2,0,23,7,2
3.74,0.088,238.59,15.6,0,0,17,20,12,17
2.256,0.0,238.68,9.4,0,0,0,8,4,0
0.378,0.222,239.48,1.8,0,0,0,17,6,0
1.438,0.092,240.82,6.0,0,1,18,30,11,19
2.072,0.078,237.63,8.6,0,0,18,23,10,18
1.568,0.0,240.31,6.4,1,0,18,19,6,19
0.42,0.048,247.26,1.6,0,0,0,17,2,0
0.314,0.08,241.72,1.2,0,1,1,23,4,2
0.204,0.0,241.19,0.8,0,0,0,28,10,0
0.644,0.224,240.18,2.8,0,1,1,5,10,2
0.248,0.0,239.75,1.0,0,0,1,10,10,1
1.208,0.074,230.7,5.2,0,1,17,5,6,18
1.356,0.068,240.72,5.6,0,0,18,25,2,18
1.096,0.104,239.37,4.6,0,1,0,20,1,1
0.438,0.22,245.48,2.0,0,0,1,18,2,1
0.084,0.0,244.18,0.2,0,0,0,25,8,0
0.678,0.2,245.1,2.8,0,4,0,12,11,4
2.72,0.196,239.63,11.2,38,0,1,27,4,39
3.254,0.082,239.86,13.6,0,0,18,12,1,18
0.602,0.14,237.48,2.6,0,0,0,19,7,0
1.208,0.396,239.89,5.4,0,2,1,20,4,3
3.072,0.0,240.7,12.8,0,0,18,1,4,18
0.244,0.252,240.62,1.4,0,0,1,6,8,1
3.738,0.096,234.27,16.0,36,0,17,29,5,53
0.324,0.054,241.72,1.6,0,0,0,18,1,0
5.39,0.0,228.99,23.6,35,25,17,7,5,77
2.136,0.0,238.67,8.8,0,0,0,15,8,0
0.124,0.0,231.91,0.6,0,0,0,17,7,0
0.37,0.146,240.45,1.6,0,1,0,16,4,1
1.762,0.27,243.41,7.2,0,0,1,8,12,1
0.566,0.096,240.82,2.4,0,0,1,16,8,1
0.252,0.0,250.69,1.0,0,0,1,16,12,1
0.082,0.0,241.42,0.2,0,0,1,27,8,1
0.082,0.0,242.61,0.2,0,0,1,28,8,1
0.408,0.156,245.61,1.8,0,1,0,19,1,1
1.504,0.088,242.34,6.2,0,0,18,23,1,18
1.738,0.282,244.35,7.2,0,2,19,3,4,21
3.964,0.064,241.09,16.4,39,0,18,17,2,57
